Note:
Results of the csv export.
If more than one entry per data field is available for a strain, the export contains multiple lines per strain.
At the end of the line you find the reference for each exported entry.


Export with Textmined data

strains.ID_strains;strains.Culture collection no.;strains.Species;strains.Strain Designation;strains_tax_PNU.Species (PNU);strains_tax_PNU.ID_reference

"154584";"CCUG 54473";"Granulicatella adiacens";"";"Granulicatella adiacens";"20215";

"155237";"CCUG 57022";"Granulicatella adiacens";"";"Granulicatella adiacens";"20215";

"155239";"CCUG 57036";"Granulicatella adiacens";"";"Granulicatella adiacens";"20215";

"155240";"CCUG 57047";"Granulicatella adiacens";"";"Granulicatella adiacens";"20215";

"155329";"CCUG 57347";"Granulicatella adiacens";"";"Granulicatella adiacens";"20215";

"155693";"CCUG 59016";"Granulicatella adiacens";"";"Granulicatella adiacens";"20215";

"155773";"CCUG 59275";"Granulicatella adiacens";"";"Granulicatella adiacens";"20215";

"156223";"CCUG 60768";"Granulicatella adiacens";"";"Granulicatella adiacens";"20215";

"156253";"CCUG 60877";"Granulicatella adiacens";"";"Granulicatella adiacens";"20215";

"156303";"CCUG 61107";"Granulicatella adiacens";"";"Granulicatella adiacens";"20215";

"156365";"CCUG 61304";"Granulicatella adiacens";"";"Granulicatella adiacens";"20215";

"156366";"CCUG 61305";"Granulicatella adiacens";"";"Granulicatella adiacens";"20215";

"142760";"CCUG 14485 A";"Granulicatella adiacens";"";"Granulicatella adiacens";"20215";

"148271";"CCUG 35130 B";"Granulicatella adiacens";"";"Granulicatella adiacens";"20215";

"154493";"CCUG 53861 B";"Granulicatella adiacens";"";"Granulicatella adiacens";"20215";

"2276";"DSM 15827, ATCC 700813, CCUG 37380, CIP 105938";"Granulicatella balaenopterae";"M1975/96/1";"Granulicatella balaenopterae";"20215";

"150073";"CCUG 38949, CCM 4945";"Granulicatella elegans";"";"Granulicatella elegans";"20215";

"142632";"CCUG 13462";"Granulicatella elegans";"";"Granulicatella elegans";"20215";

"144643";"CCUG 26024";"Granulicatella elegans";"";"Granulicatella elegans";"20215";

"145062";"CCUG 27554";"Granulicatella elegans";"";"Granulicatella elegans";"20215";

"149918";"CCUG 38675";"Granulicatella elegans";"";"Granulicatella elegans";"20215";

"149919";"CCUG 38676";"Granulicatella elegans";"";"Granulicatella elegans";"20215";

"154491";"CCUG 53836";"Granulicatella elegans";"";"Granulicatella elegans";"20215";

"156397";"CCUG 61561";"Granulicatella elegans";"";"Granulicatella elegans";"20215";

"136703";"CIP 107725, CCUG 47968";"Haematobacter massiliensis";"";"Haematobacter massiliensis";"20215";

"154082";"CCUG 52306, CIP 109175";"Haematobacter massiliensis";"";"Haematobacter massiliensis";"20215";

"154083";"CCUG 52308";"Haematobacter massiliensis";"";"Haematobacter massiliensis";"20215";

"154084";"CCUG 52309";"Haematobacter massiliensis";"";"Haematobacter massiliensis";"20215";

"154085";"CCUG 52310";"Haematobacter massiliensis";"";"Haematobacter massiliensis";"20215";

"154090";"CCUG 52315";"Haematobacter massiliensis";"";"Haematobacter massiliensis";"20215";

"154091";"CCUG 52316";"Haematobacter massiliensis";"";"Haematobacter massiliensis";"20215";

"136704";"CIP 109176, CCUG 52307, CDC H1892";"Haematobacter missouriensis";"";"Haematobacter missouriensis";"20215";

"154086";"CCUG 52311";"Haematobacter missouriensis";"";"Haematobacter missouriensis";"20215";

"154087";"CCUG 52312";"Haematobacter missouriensis";"";"Haematobacter missouriensis";"20215";

"154089";"CCUG 52314";"Haematobacter missouriensis";"";"Haematobacter missouriensis";"20215";

"154092";"CCUG 52317";"Haematobacter missouriensis";"";"Haematobacter missouriensis";"20215";

"154088";"CCUG 52313, CIP 109177";"Haematobacter sp.";"";"Haematobacter sp.";"20215";

"7621";"DSM 21259, CCUG 46407, JCM 19108";"Haematomicrobium sanguinis";"741";"Haematomicrobium sanguinis";"20215";

"132371";"DSM 28903, CCUG 66838";"Haematospirillum jordaniae";"H5569";"Haematospirillum jordaniae";"20215";

"11711";"DSM 21187, ATCC 11116, CCUG 25716, CIP 52.129, NCTC 8502";"Haemophilus aegyptius";"180-a";"Haemophilus aegyptius";"20215";

"141284";"CCUG 628";"Haemophilus aegyptius";"";"Haemophilus aegyptius";"20215";

"136076";"CIP 52.130, NCTC 8134, CCUG 26840";"Haemophilus aegyptius";"";"Haemophilus aegyptius";"20215";

"152883";"CCUG 47869";"Haemophilus canis";"";"";"";

"138208";"CIP 54.2, ATCC 33940, CCUG 4438, DSM 8925, NCTC 10945, CIP 542";"Haemophilus ducreyi";"";"Haemophilus ducreyi";"20215";

"141828";"CCUG 7470, CIP 76118";"Haemophilus ducreyi";"";"Haemophilus ducreyi";"20215";

"141858";"CCUG 7829, ATCC 27722";"Haemophilus ducreyi";"";"Haemophilus ducreyi";"20215";

"141981";"CCUG 9276";"Haemophilus ducreyi";"";"Haemophilus ducreyi";"20215";

"151261";"CCUG 43572, ATCC 700724";"Haemophilus ducreyi";"";"Haemophilus ducreyi";"20215";

"137149";"CIP 78.66, ATCC 51565, CCUG 4391, CCUG 4391 Ea";"Haemophilus ducreyi";"";"Haemophilus ducreyi";"20215";

"11716";"DSM 21192, ATCC 49733, CCUG 31170";"Haemophilus felis";"TI 189";"Haemophilus felis";"20215";

"11712";"DSM 21241, ATCC 19416, CCUG 3714, CIP 53.88, NCTC 1659";"Haemophilus haemoglobinophilus";"";"Haemophilus haemoglobinophilus";"20215";

"135242";"CIP 103290, ATCC 33390, CCUG 12834, NCTC 10659";"Haemophilus haemolyticus";"";"Haemophilus haemolyticus";"20215";

"144273";"CCUG 24149";"Haemophilus haemolyticus";"";"Haemophilus haemolyticus";"20215";

"156901";"CCUG 66543";"Haemophilus haemolyticus";"";"Haemophilus haemolyticus";"20215";

"156904";"CCUG 66565";"Haemophilus haemolyticus";"";"Haemophilus haemolyticus";"20215";

"11698";"DSM 4690, ATCC 33391, NCTC 8143";"Haemophilus influenzae";"";"Haemophilus influenzae";"20215";

"11699";"DSM 10000, ATCC 9833, NCTC 8473, CCUG 6876";"Haemophilus influenzae";"644, AMC 36-A-8";"Haemophilus influenzae";"20215";

"11700";"CCUG 7317 A, DSM 10001, ATCC 9795, NCTC 8467";"Haemophilus influenzae";"641, AMC 36-A-4";"Haemophilus influenzae";"20215";

"11701";"DSM 11121, ATCC 51907";"Haemophilus influenzae";"KW20, Rd";"Haemophilus influenzae";"20215";

"11702";"DSM 11969, ATCC 10211, CCUG 33775";"Haemophilus influenzae";"572";"Haemophilus influenzae";"20215";

"11703";"CCUG 29539, DSM 11970, ATCC 49766";"Haemophilus influenzae";"L-378";"Haemophilus influenzae";"20215";

"11704";"DSM 23393, ATCC 9334, CCUG 13225B, CCUG 23946, CIP 54.94, Kilian HK 394, NCTC 8468";"Haemophilus influenzae";"Pittman 576";"Haemophilus influenzae";"20215";

"11705";"DSM 24049, ATCC 49247, CCUG 26214, DSM 9999, NCTC 12699";"Haemophilus influenzae";"TD-4";"Haemophilus influenzae";"20215";

"11706";"DSM 25829, NCCP 13792";"Haemophilus influenzae";"";"Haemophilus influenzae";"20215";

"141822";"CCUG 7316, ATCC 19418, NCTC 4560";"Haemophilus influenzae";"";"Haemophilus influenzae";"20215";

"143380";"CCUG 18800";"Haemophilus influenzae";"";"Haemophilus influenzae";"20215";

"137647";"CIP 103723, CCUG 31340";"Haemophilus influenzae";"";"";"";

"148062";"CCUG 34748";"Haemophilus influenzae";"";"Haemophilus influenzae";"20215";

"148353";"CCUG 35273";"Haemophilus influenzae";"";"Haemophilus influenzae";"20215";

"151904";"CCUG 45156";"Haemophilus influenzae";"";"Haemophilus influenzae";"20215";

"151990";"CCUG 45442";"Haemophilus influenzae";"";"Haemophilus influenzae";"20215";

"152105";"CCUG 45795";"Haemophilus influenzae";"";"Haemophilus influenzae";"20215";

"152376";"CCUG 46574";"Haemophilus influenzae";"";"Haemophilus influenzae";"20215";

"152604";"CCUG 47184";"Haemophilus influenzae";"";"Haemophilus influenzae";"20215";

"152819";"CCUG 47707";"Haemophilus influenzae";"";"Haemophilus influenzae";"20215";

"153676";"CCUG 50618";"Haemophilus influenzae";"";"Haemophilus influenzae";"20215";

"154203";"CCUG 52721";"Haemophilus influenzae";"";"Haemophilus influenzae";"20215";

"154590";"CCUG 54503";"Haemophilus influenzae";"";"Haemophilus influenzae";"20215";

"155611";"CCUG 58365";"Haemophilus influenzae";"";"Haemophilus influenzae";"20215";

"156132";"CCUG 60490";"Haemophilus influenzae";"";"Haemophilus influenzae";"20215";

"156564";"CCUG 62705";"Haemophilus influenzae";"";"Haemophilus influenzae";"20215";

"156671";"CCUG 64045";"Haemophilus influenzae";"";"Haemophilus influenzae";"20215";

"141764";"CCUG 6515, NCTC 11146";"Haemophilus influenzaemurium";"";"";"";

"155192";"CCUG 56864";"Haemophilus intermedius subsp. gazogenes";"";"";"";

"153667";"CCUG 50565";"Haemophilus intermedius subsp. intermedius";"";"";"";

"155883";"CCUG 59530";"Haemophilus intermedius subsp. intermedius";"";"";"";

"11713";"DSM 21452, ATCC 29986, CCUG 43573, CIP 107045";"Haemophilus paracuniculus";"";"Haemophilus paracuniculus";"20215";

"11708";"DSM 21417, ATCC 10014, CCUG 3716, CIP 56.86, NCTC 8479";"Haemophilus parahaemolyticus";"536";"Haemophilus parahaemolyticus";"20215";

"144973";"CCUG 27334";"Haemophilus parahaemolyticus";"";"Haemophilus parahaemolyticus";"20215";

"148836";"CCUG 36104, MCCM 02687";"Haemophilus parahaemolyticus";"";"Haemophilus parahaemolyticus";"20215";

"150547";"CCUG 41564";"Haemophilus parahaemolyticus";"";"Haemophilus parahaemolyticus";"20215";

"153026";"CCUG 48342";"Haemophilus parahaemolyticus";"";"Haemophilus parahaemolyticus";"20215";

"153914";"CCUG 51599";"Haemophilus parahaemolyticus";"";"Haemophilus parahaemolyticus";"20215";

"156630";"CCUG 63750";"Haemophilus parahaemolyticus";"";"Haemophilus parahaemolyticus";"20215";

"11707";"DSM 8978, ATCC 33392, NCTC 7857, CCUG 12836, KCTC 15417";"Haemophilus parainfluenzae";"";"Haemophilus parainfluenzae";"20215";

"141836";"CCUG 7596";"Haemophilus parainfluenzae";"";"Haemophilus parainfluenzae";"20215";

"147516";"CCUG 33722";"Haemophilus parainfluenzae";"";"Haemophilus parainfluenzae";"20215";

"148229";"CCUG 35077";"Haemophilus parainfluenzae";"";"Haemophilus parainfluenzae";"20215";

"148505";"CCUG 35562";"Haemophilus parainfluenzae";"";"Haemophilus parainfluenzae";"20215";

"148713";"CCUG 35841";"Haemophilus parainfluenzae";"";"Haemophilus parainfluenzae";"20215";

"151628";"CCUG 44486";"Haemophilus parainfluenzae";"";"Haemophilus parainfluenzae";"20215";

"151729";"CCUG 44743";"Haemophilus parainfluenzae";"";"Haemophilus parainfluenzae";"20215";

"151914";"CCUG 45191";"Haemophilus parainfluenzae";"";"Haemophilus parainfluenzae";"20215";

"152322";"CCUG 46440";"Haemophilus parainfluenzae";"";"Haemophilus parainfluenzae";"20215";

"152558";"CCUG 47051";"Haemophilus parainfluenzae";"";"Haemophilus parainfluenzae";"20215";

"152775";"CCUG 47595";"Haemophilus parainfluenzae";"";"Haemophilus parainfluenzae";"20215";

"153998";"CCUG 51895";"Haemophilus parainfluenzae";"";"Haemophilus parainfluenzae";"20215";

"154591";"CCUG 54510";"Haemophilus parainfluenzae";"";"Haemophilus parainfluenzae";"20215";

"154882";"CCUG 55527";"Haemophilus parainfluenzae";"";"Haemophilus parainfluenzae";"20215";

"155561";"CCUG 58157";"Haemophilus parainfluenzae";"";"Haemophilus parainfluenzae";"20215";

"155615";"CCUG 58392";"Haemophilus parainfluenzae";"";"Haemophilus parainfluenzae";"20215";

"156096";"CCUG 60358";"Haemophilus parainfluenzae";"";"Haemophilus parainfluenzae";"20215";

"156556";"CCUG 62655";"Haemophilus parainfluenzae";"";"Haemophilus parainfluenzae";"20215";

"156672";"CCUG 64046";"Haemophilus parainfluenzae";"";"Haemophilus parainfluenzae";"20215";

"11714";"DSM 21451, ATCC 29237, CCUG 3718, CIP 102512, NCTC 10670";"Haemophilus paraphrohaemolyticus";"L1";"Haemophilus paraphrohaemolyticus";"20215";

"144737";"CCUG 26425, MCCM 00470, ATCC 29238, NCTC 10671";"Haemophilus paraphrohaemolyticus";"";"Haemophilus paraphrohaemolyticus";"20215";

"11715";"DSM 21448, ATCC 19417, CCUG 3712, CIP 100918, CIP 58.8, NCTC 4557, KCTC 15419";"Haemophilus parasuis";"1374";"Haemophilus parasuis";"20215";

"151920";"CCUG 45203";"Haemophilus parasuis";"";"Haemophilus parasuis";"20215";

"11709";"DSM 17240, CCUG 48703, NCTC 13334, CIP 108658";"Haemophilus pittmaniae";"HK 85";"Haemophilus pittmaniae";"20215";

"11710";"DSM 21203";"Haemophilus pittmaniae";"HK 85";"Haemophilus pittmaniae";"20215";

"153199";"CCUG 48704";"Haemophilus pittmaniae";"";"Haemophilus pittmaniae";"20215";

"153200";"CCUG 48705";"Haemophilus pittmaniae";"";"Haemophilus pittmaniae";"20215";

"153201";"CCUG 48706, NCTC 13335";"Haemophilus pittmaniae";"";"Haemophilus pittmaniae";"20215";

"153417";"CCUG 49514";"Haemophilus pittmaniae";"";"Haemophilus pittmaniae";"20215";

"147031";"CCUG 32673";"Haemophilus somnus";"";"";"";

"151779";"CCUG 44863";"Haemophilus somnus-like";"";"";"";

"147402";"CCUG 33533";"Haemophilus sp.";"";"Haemophilus sp.";"20215";

"148829";"CCUG 36015, MCCM 02453";"Haemophilus sp.";"";"Haemophilus sp.";"20215";

"152407";"CCUG 46704";"Haemophilus sp.";"";"Haemophilus sp.";"20215";

"11717";"DSM 24472, CCUG 13788, NCTC 13537";"Haemophilus sputorum";"";"Haemophilus sputorum";"20215";

"152862";"CCUG 47809";"Haemophilus sputorum";"";"Haemophilus sputorum";"20215";

"1357";"DSM 17073, IAM 15242, NBRC 100868, NRIC 0628";"Halolactibacillus halophilus";"M2-2";"Halolactibacillus halophilus";"20215";

"1358";"DSM 17074, IAM 15247, NBRC 100873, NRIC 0633";"Halolactibacillus miurensis";"M23-1";"Halolactibacillus miurensis";"20215";

"146837";"CCUG 32213";"Helcococcus kunzii";"";"Helcococcus kunzii";"20215";

"153628";"CCUG 50407";"Helcococcus kunzii";"";"Helcococcus kunzii";"20215";

"153639";"CCUG 50466";"Helcococcus kunzii";"";"Helcococcus kunzii";"20215";

"157044";"CCUG 69101";"Helcococcus kunzii";"";"Helcococcus kunzii";"20215";

"146452";"CCUG 31183 A";"Helcococcus kunzii";"";"Helcococcus kunzii";"20215";

"156295";"CCUG 61088 A";"Helcococcus kunzii";"";"Helcococcus kunzii";"20215";

"17991";"DSM 21504, ATCC BAA 59, CCUG 37441, CIP 106312, CCM 4944";"Helcococcus ovis";"S840-96-1";"Helcococcus ovis";"20215";

"156392";"CCUG 61546";"Helcococcus sp.";"";"Helcococcus sp.";"20215";

"17992";"DSM 17243, CCUG 47334, CIP 108183";"Helcococcus sueciensis";"";"Helcococcus sueciensis";"20215";

"154978";"CCUG 55919";"Helcococcus sueciensis";"";"Helcococcus sueciensis";"20215";

"139045";"CIP 104247, ATCC 51101, CCUG 29263";"Helicobacter acinonychis";"";"";"";

"154115";"CCUG 52421, ATCC BAA 1299";"Helicobacter anseris";"";"Helicobacter anseris";"20215";

"141061";"DSM 28990, LMG 28471";"Helicobacter apri";"A19";"Helicobacter apri";"20215";

"152857";"CCUG 47791, ATCC BAA 1";"Helicobacter aurati";"";"Helicobacter aurati";"20215";

"134274";"LMG 23839, CCUG 53816";"Helicobacter baculiformis";"M50";"Helicobacter baculiformis";"20215";

"135500";"CIP 105233, CCUG 35545, CCUG 35045";"Helicobacter bizzozeronii";"";"Helicobacter bizzozeronii";"20215";

"154114";"CCUG 52420, ATCC BAA 1298";"Helicobacter brantae";"";"Helicobacter brantae";"20215";

"152593";"CCUG 47163, ATCC 700968";"Helicobacter canadensis";"";"Helicobacter canadensis";"20215";

"147611";"CCUG 33885, LMG 16315";"Helicobacter canicola";"";"Helicobacter canicola";"20215";

"147612";"CCUG 33887, LMG 29580";"Helicobacter canicola";"";"Helicobacter canicola";"20215";

"139200";"CIP 104753, ATCC 51401, NCTC 12739, CCUG 32756";"Helicobacter canis";"";"Helicobacter canis";"20215";

"143501";"CCUG 19561, LMG 8771, CIP 105430";"Helicobacter canis";"";"Helicobacter canis";"20215";

"147666";"CCUG 33976";"Helicobacter canis";"";"Helicobacter canis";"20215";

"156805";"CCUG 65458";"Helicobacter canis";"";"Helicobacter canis";"20215";

"157168";"CCUG 69995";"Helicobacter canis";"";"Helicobacter canis";"20215";

"154113";"CCUG 52418, ATCC BAA 540";"Helicobacter cetorum";"";"Helicobacter cetorum";"20215";

"6098";"DSM 5359, ATCC 35683, CCUG 18818, LMG 7543, NCTC 12423, CIP 103752";"Helicobacter cinaedi";"";"Helicobacter cinaedi";"20215";

"138205";"CIP 105369, CCUG 15432, LMG 8559";"Helicobacter cinaedi";"";"Helicobacter cinaedi";"20215";

"143385";"CCUG 18819, LMG 7544, LMG 9071";"Helicobacter cinaedi";"";"Helicobacter cinaedi";"20215";

"147562";"CCUG 33804, ATCC 51800";"Helicobacter cinaedi";"";"Helicobacter cinaedi";"20215";

"149115";"CCUG 36876";"Helicobacter cinaedi";"";"Helicobacter cinaedi";"20215";

"149901";"CCUG 38648";"Helicobacter cinaedi";"";"Helicobacter cinaedi";"20215";

"150501";"CCUG 41437";"Helicobacter cinaedi";"";"Helicobacter cinaedi";"20215";

"151238";"CCUG 43521";"Helicobacter cinaedi";"";"Helicobacter cinaedi";"20215";

"151726";"CCUG 44719";"Helicobacter cinaedi";"";"Helicobacter cinaedi";"20215";

"134194";"LMG 23362, CCUG 52199";"Helicobacter equorum";"EqF1";"Helicobacter equorum";"20215";

"6103";"DSM 7491, ATCC 35684, CCUG 18820, LMG 7546, NCTC 11612, CIP 103758, KCTC 15214";"Helicobacter fennelliae";"231";"Helicobacter fennelliae";"20215";

"6111";"DSM 24751, LMG 26292";"Helicobacter heilmannii";"ASB1";"Helicobacter heilmannii";"20215";

"6110";"DSM 23983";"Helicobacter heilmannii";"ASB3";"Helicobacter heilmannii";"20215";

"6105";"DSM 22909, ATCC 51448, CCUG 33637, CIP 104100, LMG 16316";"Helicobacter hepaticus";"Hh-2";"Helicobacter hepaticus";"20215";

"131346";"DSM 28742, CGMCC 1.12864";"Helicobacter himalayensis";"80 (YS1T)";"Helicobacter himalayensis";"20215";

"154813";"CCUG 55314";"Helicobacter macacae";"";"Helicobacter macacae";"20215";

"154812";"CCUG 55313 T, CCUG 55313, LMG 26486";"Helicobacter macacae";"";"Helicobacter macacae";"20215";

"6107";"DSM 22879, ATCC BAA 546, CCUG 52419, MIT 98-6070";"Helicobacter marmotae";"MIT 98-6070";"Helicobacter marmotae";"20215";

"6108";"DSM 22886, ATCC BAA 1046, CCUG 52417, MIT 97-5574";"Helicobacter mastomyrinus";"MIT 97-5574";"Helicobacter mastomyrinus";"20215";

"151978";"CCUG 45420, MU 97-1514, ATCC 700932";"Helicobacter mesocricetorum";"";"Helicobacter mesocricetorum";"20215";

"6104";"DSM 22221, ATCC 49282, CCUG 29262, CIP 104248, LMG 13646, NCTC 12714";"Helicobacter muridarum";"ST1";"Helicobacter muridarum";"20215";

"137038";"CIP 103759, ATCC 43772, CCUG 25715, NCTC 12198";"Helicobacter mustelae";"";"Helicobacter mustelae";"20215";

"24100";"DSM 29139, ATCC 51478, CCUG 29255, CIP 104249";"Helicobacter pametensis";"B9";"Helicobacter pametensis";"20215";

"145685";"CCUG 29253";"Helicobacter pametensis";"";"Helicobacter pametensis";"20215";

"137264";"CIP 104250, ATCC 51479, CCUG 29257, LMG 12680";"Helicobacter pametensis";"";"Helicobacter pametensis";"20215";

"135474";"CIP 104787, ATCC 51801, CCUG 33837, NCTC 12824";"Helicobacter pullorum";"";"Helicobacter pullorum";"20215";

"146769";"CCUG 32086";"Helicobacter pullorum";"";"Helicobacter pullorum";"20215";

"147584";"CCUG 33838, ATCC 51802, NCTC 12826, CIP 105375";"Helicobacter pullorum";"";"Helicobacter pullorum";"20215";

"147585";"CCUG 33839";"Helicobacter pullorum";"";"Helicobacter pullorum";"20215";

"147588";"CCUG 33842, CIP 105376";"Helicobacter pullorum";"";"Helicobacter pullorum";"20215";

"155976";"CCUG 59840";"Helicobacter pullorum";"";"Helicobacter pullorum";"20215";

"6102";"CCUG 15815, LMG 7540, CIP 103995, DSM 21031, ATCC 43504, CCUG 17874, DSM 4867, LMG 7539, NCTC 11637";"Helicobacter pylori";"RPH 13487";"Helicobacter pylori";"20215";

"142935";"CCUG 15815 B";"Helicobacter pylori";"";"Helicobacter pylori";"20215";

"6101";"DSM 10242, NCTC 11638, RPH 13491, CCUG 17875, LMG 7542, CIP 107264, LMG 7541";"Helicobacter pylori";"";"Helicobacter pylori";"20215";

"142938";"CCUG 15818, ATCC 43629, NCTC 11639, LMG 8927, LMG 8774, LMG 7914";"Helicobacter pylori";"";"Helicobacter pylori";"20215";

"146348";"CCUG 30987";"Helicobacter pylori";"";"Helicobacter pylori";"20215";

"146349";"CCUG 30988";"Helicobacter pylori";"";"Helicobacter pylori";"20215";

"146350";"CCUG 30989";"Helicobacter pylori";"";"Helicobacter pylori";"20215";

"146351";"CCUG 30990";"Helicobacter pylori";"";"Helicobacter pylori";"20215";

"146352";"CCUG 30992";"Helicobacter pylori";"";"Helicobacter pylori";"20215";

"146353";"CCUG 30993";"Helicobacter pylori";"";"Helicobacter pylori";"20215";

"146354";"CCUG 30994";"Helicobacter pylori";"";"Helicobacter pylori";"20215";

"148598";"CCUG 35689";"Helicobacter pylori";"";"Helicobacter pylori";"20215";

"149969";"CCUG 38770";"Helicobacter pylori";"";"Helicobacter pylori";"20215";

"149970";"CCUG 38771";"Helicobacter pylori";"";"Helicobacter pylori";"20215";

"149971";"CCUG 38772";"Helicobacter pylori";"";"Helicobacter pylori";"20215";

"150213";"CCUG 39297";"Helicobacter pylori";"";"Helicobacter pylori";"20215";

"150675";"CCUG 41936, ATCC 700392, NCTC 12455";"Helicobacter pylori";"";"Helicobacter pylori";"20215";

"24099";"DSM 28160, CCUG 47164, ATCC 700824";"Helicobacter pylori";"";"Helicobacter pylori";"20215";

"152974";"CCUG 48166";"Helicobacter pylori";"";"Helicobacter pylori";"20215";

"156766";"CCUG 64957";"Helicobacter pylori";"";"Helicobacter pylori";"20215";

"145689";"CCUG 29261, ATCC 51482, LMG 13642";"Helicobacter sp.";"";"Helicobacter sp.";"20215";

"146050";"CCUG 30257";"Helicobacter sp.";"";"Helicobacter sp.";"20215";

"149586";"CCUG 38014";"Helicobacter sp.";"";"Helicobacter sp.";"20215";

"154151";"CCUG 52581";"Helicobacter sp.";"";"Helicobacter sp.";"20215";

"6109";"DSM 19735, LMG 23995";"Helicobacter suis";"HS1";"Helicobacter suis";"20215";

"153302";"CCUG 49050, ATCC 700114";"Helicobacter trogontum";"";"Helicobacter trogontum";"20215";

"153303";"CCUG 49051";"Helicobacter trogontum";"";"Helicobacter trogontum";"20215";

"150101";"CCUG 38992 A, ATCC 49313, ATCC 43966";"Helicobacter trogontum";"";"Helicobacter trogontum";"20215";

"135080";"CCUG 48335, CIP 107729, ATCC BAA 367";"Helicobacter typhlonius";"";"Helicobacter typhlonius";"20215";

"152663";"CCUG 47308 B";"Herbaspirillum sp.";"";"Herbaspirillum sp.";"20215";

"11751";"DSM 23850, ATCC 43625, CCUG 36157, MCCM 00728, CIP 108133";"Histophilus somni";"8025";"Histophilus somni";"20215";

"147905";"CCUG 34464";"Histophilus somni";"";"Histophilus somni";"20215";

"152429";"CCUG 46769";"Histophilus somni";"";"Histophilus somni";"20215";

"152430";"CCUG 46770, MCCM 03030";"Histophilus somni";"";"Histophilus somni";"20215";

"152431";"CCUG 46771, MCCM 00338";"Histophilus somni";"";"Histophilus somni";"20215";

"152432";"CCUG 46772, MCCM 00330";"Histophilus somni";"";"Histophilus somni";"20215";

"152433";"CCUG 46773, MCCM 02133";"Histophilus somni";"";"Histophilus somni";"20215";

"152434";"CCUG 46774, MCCM 03029";"Histophilus somni";"";"Histophilus somni";"20215";

"152556";"CCUG 47049";"Histophilus somni";"";"Histophilus somni";"20215";

"152557";"CCUG 47050";"Histophilus somni";"";"Histophilus somni";"20215";

"152435";"CCUG 46775, MCCM 03031";"Histophilus somni";"";"Histophilus somni";"20215";

"152553";"CCUG 47046";"Histophilus somni";"";"Histophilus somni";"20215";

"152554";"CCUG 47047";"Histophilus somni";"";"Histophilus somni";"20215";

"152555";"CCUG 47048";"Histophilus somni";"";"Histophilus somni";"20215";

"11933";"DSM 15072, CIP 109407";"Hydrogenovibrio halophilus";"HL 5, UNIQEM U 221";"Hydrogenovibrio halophilus";"20215";

"11930";"DSM 16397, JCM 12397";"Hydrogenovibrio thermophilus";"I78";"Hydrogenovibrio thermophilus";"20215";

"153824";"CCUG 51278";"Hydrotalea flava";"";"Hydrotalea flava";"20215";

"156026";"CCUG 60118, CGMCC 1.10237";"Hydrotalea sp.";"";"Hydrotalea sp.";"20215";

"235";"DSM 15695, ATCC 700630, CCUG 37658, CIP 105896";"Ignavigranum ruoffiae";"1607-97";"Ignavigranum ruoffiae";"20215";

"149493";"CCUG 37841";"Ignavigranum ruoffiae";"";"Ignavigranum ruoffiae";"20215";

"156840";"CCUG 65994";"Ignavigranum ruoffiae";"";"Ignavigranum ruoffiae";"20215";

"2277";"DSM 13760, CCUG 37660, CIP 107375";"Isobaculum melis";"M577-94";"Isobaculum melis";"20215";

"12585";"DSM 16849, CIP 108902, HKI 0342, NBRC 104396, NCIMB 14033";"Isoptericola hypogeus";"";"Isoptericola hypogeus";"20215";

"154440";"CCUG 53624";"Janibacter limosus";"";"Janibacter limosus";"20215";

"157153";"CCUG 69815";"Janibacter limosus";"";"Janibacter limosus";"20215";

"152190";"CCUG 46014";"Janibacter terrae";"";"Janibacter terrae";"20215";

"140572";"CCUG 69147, CECT 9157";"Jeotgalibaca arthritidis";"1805-02";"Jeotgalibaca arthritidis";"20215";

"140571";"CECT 9156, CCUG 69148";"Jeotgalibaca porci";"1804-02";"Jeotgalibaca porci";"20215";

"14410";"DSM 17030, CCUG 42722, CIP 107946";"Jeotgalicoccus pinnipedialis";"";"Jeotgalicoccus pinnipedialis";"20215";

"6314";"DSM 20603, ATCC 14870, CIP 55134, NCTC 10816, CCUG 15532, CIP 55.134";"Jonesia denitrificans";"55134";"Jonesia denitrificans";"20215";

"140549";"KCTC 42186, JCM 30386";"Kiloniella antarctica";"soj2014";"Kiloniella antarctica";"20215";

"6316";"DSM 7487, ATCC 51238, IFO 15268, NBRC 15268, CCUG 44589, CIP 105426";"Kineococcus aurantiacus";"RA 333";"Kineococcus aurantiacus";"20215";

"145370";"CCUG 28284";"Kingella denitrificans";"";"Kingella denitrificans";"20215";

"145374";"CCUG 28308";"Kingella denitrificans";"";"Kingella denitrificans";"20215";

"145822";"CCUG 29699";"Kingella denitrificans";"";"Kingella denitrificans";"20215";

"155148";"CCUG 56605";"Kingella denitrificans";"";"Kingella denitrificans";"20215";

"155279";"CCUG 57179";"Kingella denitrificans";"";"Kingella denitrificans";"20215";

