"org_name","tax_id","sporulation","gram_stain","metabolism","cell_shape","motility","ref_type","reference"
"Thermaerobacter marianensis",73919,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Thermogladius cellulolyticus",1200300,NA,NA,"strictanaero",NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Azospirillum brasilense",192,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Leucothrix mucor",45248,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Mycoplasma columbinum",114881,"0",NA,NA,"coccus",NA,"doi","doi.org/10.1093/nar/gkw964"
"Azospirillum lipoferum",193,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Campylobacter coli",195,"0","0","microaerophilic","spirilla","yes","doi","doi.org/10.1093/nar/gkw964"
"Acholeplasma brassicae",61635,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Campylobacter fetus",196,"0","0","microaerophilic","spirilla",NA,"doi","doi.org/10.1093/nar/gkw964"
"Sedimentitalea nanhaiensis",999627,"0","0",NA,"bacilli",NA,"doi","doi.org/10.1093/nar/gkw964"
"Campylobacter jejuni",197,"0","0","microaerophilic","spirilla",NA,"doi","doi.org/10.1093/nar/gkw964"
"Caldicellulosiruptor hydrothermalis",413888,"0",NA,"strictanaero","bacilli","no","doi","doi.org/10.1093/nar/gkw964"
"Campylobacter concisus",199,"0","0","microaerophilic","spirilla",NA,"doi","doi.org/10.1093/nar/gkw964"
"Caldicellulosiruptor kronotskyensis",413889,"0",NA,"strictanaero","bacilli",NA,"doi","doi.org/10.1093/nar/gkw964"
"Campylobacter curvus",200,"0","0",NA,"spirilla",NA,"doi","doi.org/10.1093/nar/gkw964"
"Kosmotoga olearia",651457,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Streptococcus tigurinus",1077464,"0","1",NA,"coccus","no","doi","doi.org/10.1093/nar/gkw964"
"Campylobacter lari",201,"0","0","microaerophilic","spirilla",NA,"doi","doi.org/10.1093/nar/gkw964"
"Campylobacter rectus",203,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Campylobacter showae",204,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Enterobacter asburiae",61645,"0","0","facultative","bacilli",NA,"doi","doi.org/10.1093/nar/gkw964"
"Dermacoccus sp. Ellin185",188626,"0","1",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Helicobacter pylori",210,"0","0","microaerophilic","spirilla",NA,"doi","doi.org/10.1093/nar/gkw964"
"Candidatus Hodgkinia cicadicola",573658,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Helicobacter acinonychis",212,"0","0",NA,"spirilla",NA,"doi","doi.org/10.1093/nar/gkw964"
"Helicobacter cinaedi",213,"0","0",NA,"spirilla","yes","doi","doi.org/10.1093/nar/gkw964"
"Nakamurella multipartita",53461,"0","1","strictaero",NA,"no","doi","doi.org/10.1093/nar/gkw964"
"Methanothermococcus okinawensis",155863,"0",NA,"strictanaero","coccus",NA,"doi","doi.org/10.1093/nar/gkw964"
"Candidatus Riesia pediculicola",401619,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Helicobacter felis",214,"0","0",NA,"spirilla",NA,"doi","doi.org/10.1093/nar/gkw964"
"Atopobium vaginae",82135,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Helicobacter fennelliae",215,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Helicobacter mustelae",217,"0","0",NA,"spirilla",NA,"doi","doi.org/10.1093/nar/gkw964"
"Candidatus Sulfuricurvum sp. RIFRC-1",1249480,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Kamptonema formosum",331992,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Niabella soli",446683,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Eudoraea adriatica",446681,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Thermoanaerobacterium saccharolyticum",28896,"1",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
