"tax_id","org_name","isolation_source","metabolism","growth_tmp","ref_type","reference"
190905,"Lactobacillus kefiranofaciens subsp. kefiranofaciens","kefir grains","Anaerobic",30,"doi","doi.org/10.1128/AEM.01738-18"
190906,"Lactobacillus kefiranofaciens subsp. kefirgranum","kefir grains","Anaerobic",30,"doi","doi.org/10.1128/AEM.01738-18"
33962,"Lactobacillus kefiri","kefir grains","Anaerobic",30,"doi","doi.org/10.1128/AEM.01738-18"
1218506,"Lactobacillus kimbladii","honey stomach of honeybee","Anaerobic",30,"doi","doi.org/10.1128/AEM.01738-18"
528209,"Lactobacillus kimchicus","kimchi","Aerobic",37,"doi","doi.org/10.1128/AEM.01738-18"
993692,"Lactobacillus kimchiensis","kimchi","Microaerophilic",25,"doi","doi.org/10.1128/AEM.01738-18"
481722,"Lactobacillus kisonensis","sunki, a japanese traditional pickle","Microaerophilic",25,"doi","doi.org/10.1128/AEM.01738-18"
237446,"Lactobacillus kitasatonis","chicken intestine","Microaerophilic",37,"doi","doi.org/10.1128/AEM.01738-18"
637971,"Lactobacillus koreensis","cabbage kimchi","Aerobic",30,"doi","doi.org/10.1128/AEM.01738-18"
1218493,"Lactobacillus kullabergensis","honey stomach of honeybee","Strictly anaerobic",30,"doi","doi.org/10.1128/AEM.01738-18"
148814,"Lactobacillus kunkeei","commercial grape wine","Aerobic",30,"doi","doi.org/10.1128/AEM.01738-18"
53444,"Lactobacillus lindneri","spoilt beer","Aerobic",30,"doi","doi.org/10.1128/AEM.01738-18"
176292,"Lactobacillus malefermentans","sour beer","Microaerophilic",30,"doi","doi.org/10.1128/AEM.01738-18"
1618,"Lactobacillus mali","wine must","Aerobic",30,"doi","doi.org/10.1128/AEM.01738-18"
88233,"Lactobacillus manihotivorans","cassava sour starch fermentation","Aerobic",30,"doi","doi.org/10.1128/AEM.01738-18"
1218492,"Lactobacillus mellifer","honey stomach of honeybee","Anaerobic",35,"doi","doi.org/10.1128/AEM.01738-18"
1218508,"Lactobacillus mellis","honey stomach of honeybee","Strictly anaerobic",30,"doi","doi.org/10.1128/AEM.01738-18"
1218507,"Lactobacillus melliventris","honey stomach of honeybee","Strictly anaerobic",30,"doi","doi.org/10.1128/AEM.01738-18"
167481,"Lactobacillus mindensis","sourdough","Microaerophilic",30,"doi","doi.org/10.1128/AEM.01738-18"
1435342,"Lactobacillus mixtipabuli","silage","Microaerophilic",30,"doi","doi.org/10.1128/AEM.01738-18"
1457219,"Lactobacillus modestisalitolerans","fermented fish","Facultatively anaerobic",30,"doi","doi.org/10.1128/AEM.01738-18"
97478,"Lactobacillus mucosae","pig small intestine","Preferably anaerobic",37,"doi","doi.org/10.1128/AEM.01738-18"
1296538,"Lactobacillus mudanjiangensis","pickle","Microaerophilic",28,"doi","doi.org/10.1128/AEM.01738-18"
1622,"Lactobacillus murinus","intestine of rat","Microaerophilic",37,"doi","doi.org/10.1128/AEM.01738-18"
82688,"Lactobacillus nagelii","partially fermented wine","Anaerobic",30,"doi","doi.org/10.1128/AEM.01738-18"
380393,"Lactobacillus namurensis","sourdough","Microaerophilic",30,"doi","doi.org/10.1128/AEM.01738-18"
305793,"Lactobacillus nantensis","wheat sourdough","Microaerophilic",30,"doi","doi.org/10.1128/AEM.01738-18"
944671,"Lactobacillus nasuensis","sudangrass silage sample","Anaerobic",30,"doi","doi.org/10.1128/AEM.01738-18"
1296540,"Lactobacillus nenjiangensis","pickle","Microaerophilic",28,"doi","doi.org/10.1128/AEM.01738-18"
460870,"Lactobacillus nodensis","japanese pickles","Microaerophilic",30,"doi","doi.org/10.1128/AEM.01738-18"
480930,"Lactobacillus odoratitofui","fermented brine used for stinky tofu production","Microaerophilic",30,"doi","doi.org/10.1128/AEM.01738-18"
303241,"Lactobacillus oeni","bobal wine","Microaerophilic",30,"doi","doi.org/10.1128/AEM.01738-18"
293371,"Lactobacillus oligofermentans","broiler leg","Microaerophilic",25,"doi","doi.org/10.1128/AEM.01738-18"
1632,"Lactobacillus oris","human saliva","Anaerobic",37,"doi","doi.org/10.1128/AEM.01738-18"
1202668,"Lactobacillus oryzae","fermented rice grain","Anaerobic",30,"doi","doi.org/10.1128/AEM.01738-18"
481720,"Lactobacillus otakiensis","sunki, a japanese traditional pickle","Microaerophilic",30,"doi","doi.org/10.1128/AEM.01738-18"
866801,"Lactobacillus ozensis","chrysanthemum, oze national park","Microaerophilic",30,"doi","doi.org/10.1128/AEM.01738-18"
47493,"Lactobacillus panis","sourdough","Aerobic",37,"doi","doi.org/10.1128/AEM.01738-18"
171523,"Lactobacillus pantheris","jaguar faeces","Microaerophilic",37,"doi","doi.org/10.1128/AEM.01738-18"
357278,"Lactobacillus parabrevis","wheat","Anaerobic",30,"doi","doi.org/10.1128/AEM.01738-18"
152331,"Lactobacillus parabuchneri","human saliva","Aerobic",30,"doi","doi.org/10.1128/AEM.01738-18"
47714,"Lactobacillus paracasei subsp. paracasei",NA,"Microaerophilic",30,"doi","doi.org/10.1128/AEM.01738-18"
113557,"Lactobacillus paracasei subsp. tolerans","pasteurized milk","Aerobic",30,"doi","doi.org/10.1128/AEM.01738-18"
240427,"Lactobacillus paracollinoides","brewery environment","Anaerobic",25,"doi","doi.org/10.1128/AEM.01738-18"
