"tax_id","org_name","metabolism","ref_type","reference"
86665,"Bacillus halodurans","microaerophilic","doi","doi.org/10.1093/nar/gky879"
263474,"Bacillus humi","microaerophilic","doi","doi.org/10.1093/nar/gky879"
33935,"Bacillus macroides","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1191699,"Bacillus oryziterrae","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1408,"Bacillus pumilus","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1478,"Bacillus simplex","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1409,"Bacillus sp.","microaerophilic","doi","doi.org/10.1093/nar/gky879"
46224,"Bacillus sporothermodurans","microaerophilic","doi","doi.org/10.1093/nar/gky879"
246787,"Bacteroides cellulosilyticus","microaerophilic","doi","doi.org/10.1093/nar/gky879"
820,"Bacteroides uniformis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
52764,"Bartonella alsatica","microaerophilic","doi","doi.org/10.1093/nar/gky879"
388640,"Bartonella australis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
111504,"Bartonella birtlesii","microaerophilic","doi","doi.org/10.1093/nar/gky879"
155194,"Bartonella bovis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
155192,"Bartonella capreoli","microaerophilic","doi","doi.org/10.1093/nar/gky879"
236402,"Bartonella chomelii","microaerophilic","doi","doi.org/10.1093/nar/gky879"
481137,"Bartonella coopersplainsensis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
928210,"Bartonella florencae","microaerophilic","doi","doi.org/10.1093/nar/gky879"
38323,"Bartonella henselae","microaerophilic","doi","doi.org/10.1093/nar/gky879"
357761,"Bartonella japonica","microaerophilic","doi","doi.org/10.1093/nar/gky879"
92181,"Bartonella koehlerae","microaerophilic","doi","doi.org/10.1093/nar/gky879"
270249,"Bartonella phoceensis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
481138,"Bartonella queenslandensis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
803,"Bartonella quintana","microaerophilic","doi","doi.org/10.1093/nar/gky879"
481139,"Bartonella rattaustraliani","microaerophilic","doi","doi.org/10.1093/nar/gky879"
270250,"Bartonella rattimassiliensis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
395923,"Bartonella rochalimae","microaerophilic","doi","doi.org/10.1093/nar/gky879"
165694,"Bartonella schoenbuchensis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
357760,"Bartonella silvatica","microaerophilic","doi","doi.org/10.1093/nar/gky879"
373638,"Bartonella tamiae","microaerophilic","doi","doi.org/10.1093/nar/gky879"
33047,"Bartonella vinsonii","microaerophilic","doi","doi.org/10.1093/nar/gky879"
110578,"Bartonella vinsonii subsp. arupensis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
40933,"Bartonella vinsonii subsp. berkhoffii","microaerophilic","doi","doi.org/10.1093/nar/gky879"
396502,"Bartonella washoensis subsp. cynomysii","microaerophilic","doi","doi.org/10.1093/nar/gky879"
653940,"Basfia succiniciproducens","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1472345,"Basilea psittacipulmonis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
549685,"Bavariicoccus seileri","microaerophilic","doi","doi.org/10.1093/nar/gky879"
549685,"Bavarococcus seileri","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1735111,"Bergeyella porcorum","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1015,"Bergeyella zoohelcum","microaerophilic","doi","doi.org/10.1093/nar/gky879"
47735,"Bibersteinia trehalosi","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1685,"Bifidobacterium breve","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1765219,"Bifidobacterium eulemuris","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1682,"Bifidobacterium longum subsp. infantis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
109472,"Bisgaardia hudsonensis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1460875,"Bisgaardia miroungae","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1873459,"Blastococcus sp.","microaerophilic","doi","doi.org/10.1093/nar/gky879"
56055,"Bogoriella caseilytica","microaerophilic","doi","doi.org/10.1093/nar/gky879"
35814,"Bordetella holmesii","microaerophilic","doi","doi.org/10.1093/nar/gky879"
519,"Bordetella parapertussis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
520,"Bordetella pertussis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
123899,"Bordetella trematum","microaerophilic","doi","doi.org/10.1093/nar/gky879"
29518,"Borrelia afzelii","microaerophilic","doi","doi.org/10.1093/nar/gky879"
64897,"Borrelia bissettiae","microaerophilic","doi","doi.org/10.1093/nar/gky879"
373543,"Borrelia californiensis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
373540,"Borrelia lanei","microaerophilic","doi","doi.org/10.1093/nar/gky879"
229155,"Borrelia turcica","microaerophilic","doi","doi.org/10.1093/nar/gky879"
62088,"Borrelia valaisiana","microaerophilic","doi","doi.org/10.1093/nar/gky879"
683292,"Borrelia yangtzensis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
664662,"Borreliella bavariensis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
664662,"Borrelia bavariensis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
139,"Borreliella burgdorferi","microaerophilic","doi","doi.org/10.1093/nar/gky879"
139,"Borrelia burgdorferi","microaerophilic","doi","doi.org/10.1093/nar/gky879"
478174,"Borreliella carolinensis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
478174,"Borrelia carolinensis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
29519,"Borreliella garinii","microaerophilic","doi","doi.org/10.1093/nar/gky879"
29519,"Borrelia garinii","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1196056,"Borreliella kurtenbachii","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1196056,"Borrelia kurtenbachii","microaerophilic","doi","doi.org/10.1093/nar/gky879"
87162,"Borreliella sinica","microaerophilic","doi","doi.org/10.1093/nar/gky879"
87162,"Borrelia sinica","microaerophilic","doi","doi.org/10.1093/nar/gky879"
88916,"Borreliella spielmanii","microaerophilic","doi","doi.org/10.1093/nar/gky879"
88916,"Borrelia spielmanii","microaerophilic","doi","doi.org/10.1093/nar/gky879"
151419,"Bosea massiliensis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
47846,"Brachybacterium conglomeratum","microaerophilic","doi","doi.org/10.1093/nar/gky879"
