isolate.code,name,former.name.1,former.name.2,strain,clone,species,genus,family,order,class,phylum,kingdom,domain,bv,bv.choice
423,Emiliania huxleyi clone P8,Coccolithus huxleyi,,,P8,huxleyi,Emiliania,Noëlaerhabdaceae,Isochrysidales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,1.481859156,1
424,Gephyrocapsa oceanica strain JSI,,,JSI,,oceanica,Gephyrocapsa,Noëlaerhabdaceae,Isochrysidales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,2.937016107,1
425,Isochrysis galbana,,,,,galbana,Isochrysis,Isochrysidaceae,Isochrysidales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,1.562298955,1
426,"Biceratium furca strain B. Meeson, UCSB 5M-30",Ceratium furca,,"B. Meeson, UCSB 5M-30",,furca,Biceratium,Ceratiaceae,Gonyaulacales,Dinophyceae,Dinophyta,Chromista,Eukaryota,4.73731202,2
427,Diacronema lutheri,Monochrysis lutheri,Pavlova lutheri,,,lutheri,Diacronema,Pavlovaceae,Pavlovales,Pavlovophyceae,Haptophyta,Chromista,Eukaryota,1.86332286,1
428,Phaeocystis pouchetii strain AJ 01,,,AJ 01,,pouchetii,Phaeocystis,Phaeocystaceae,Phaeocystales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,1.839232641,3
429,Phaeodactylum tricornutum,Nitzschia closterium forma minutissima,,,,tricornutum,Phaeodactylum,Phaeodactylaceae,Naviculales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,1.627660367,1
430,Phaeodactylum tricornutum,Nitzschia closterium forma minutissima,,,,tricornutum,Phaeodactylum,Phaeodactylaceae,Naviculales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,1.627660367,1
431,Phaeodactylum tricornutum,Nitzschia closterium forma minutissima,,,,tricornutum,Phaeodactylum,Phaeodactylaceae,Naviculales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,1.627660367,1
432,Phaeodactylum tricornutum,Nitzschia closterium forma minutissima,,,,tricornutum,Phaeodactylum,Phaeodactylaceae,Naviculales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,1.627660367,1
433,Nannochloropsis oculata clone KMCC C-31,Nannochloris oculata,Picochlorum oculatum,,KMCC C-31,oculata,Nannochloropsis,Monodopsidaceae,Eustigmatales,Eustigmatophyceae,Ochrophyta,Chromista,Eukaryota,0.548171225,4
435,Rhodomonas salina,,,,,salina,Rhodomonas,Pyrenomonadaceae,Pyrenomonadales,Cryptophyceae,Cryptophyta,Chromista,Eukaryota,2.36361198,1
436,Skeletonema costatum,,,,,costatum,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.907601307,1
437,Skeletonema costatum,,,,,costatum,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.907601307,1
439,Thalassiosira eccentrica,,,,,eccentrica,Thalassiosira,Thalassiosiraceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.168933938,1
440,Thalassiosira rotula,,,,,rotula,Thalassiosira,Thalassiosiraceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,3.576110894,1
441,"Dunaliella bioculata strain SAG19-4, CCAP 19/4",Dunaliella marina,,"SAG19-4, CCAP 19/4",,bioculata,Dunaliella,Dunaliellaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Plantae,Eukaryota,2.6983672,3
442,Dunaliella primolecta,,,,,primolecta,Dunaliella,Dunaliellaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Plantae,Eukaryota,2.6983672,3
443,"Spirulina platensis var. tenuis strain UTEX 1928, UTEX 1926",Arthrospira platensis var. tenuis,,UTEX 1928,,platensis,Spirulina,Pseudoanabaenaceae,Oscillatoriales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,1.297016614,3
444,Arthrospira fusiformis,Spirulina fusiformis,,,,fusiformis,Arthrospira,Phormidiaceae,Oscillatoriales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,1.297016614,4
445,Chlorella vulgaris strain Emerson,Chlorella pyrenoidosa,,Emerson,,vulgaris,Chlorella,Chlorellaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Plantae,Eukaryota,1.900448191,1
446,Chloroidea ellipsoideum,Chlorella ellipsoidea,,,,ellipsoideum,Chloroidea,Oocystaceae,Oocstales,Trebouxiophyceae,Chlorophyta,Plantae,Eukaryota,2.013915739,4
447,"Euglena gracilis strain CCAP 1224/5Z, Z",,,"CCAP 1224/5Z, Z",,gracilis,Euglena,Euglenaceae,Euglenales,Euglenophyceae,Euglenophyta,Protozoa,Eukaryota,3.65777422,1
448,Spirulina platensis var. tenuis,Arthrospira platensis var. tenuis,,,,platensis,Spirulina,Pseudoanabaenaceae,Oscillatoriales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,1.297016614,3
449,Trichormus variabilis,Anabaena variabilis,,,,variabilis,Trichormus,Nostocaceae,Nostocales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,1.516403148,2
450,Skeletonema costatum s.s. strain FDK009,,,FDK009,,costatum,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.907601307,1
451,Skeletonema pseudocostatum strain FDK225,,,FDK225,,pseudocostatum,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.42023403,3
452,Skeletonema marinoi–dohrnii complex strain FDK031,,,FDK031,,marinoi-dohrnii,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.42023403,3
453,Skeletonema marinoi–dohrnii complex strain FDK032,,,FDK032,,marinoi-dohrnii,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.42023403,3
454,Skeletonema marinoi–dohrnii complex strain FDK033,,,FDK033,,marinoi-dohrnii,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.42023403,3
