isolate.code,name,former.name.1,former.name.2,strain,clone,species,genus,family,order,class,phylum,kingdom,domain,bv,bv.choice
38,"Isochrysis galbana clone T-ISO, NEPCC 601",,,,"NEPCC 601, T-ISO",galbana,Isochrysis,Isochrysidaceae,Isochrysidales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,1.562298955,1
40,Cylindrotheca closterium strain NT-6,Nitzschia closterium,,NT-6,,closterium,Cylindrotheca,Bacillariaceae,Bacillariales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.317370266,1
41,Nitzschia paleacea strain NT7,Nitzschia frustulum,,NT7,,paleacea,Nitzschia,Bacillariaceae,Bacillariales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.135083697,1
42,Rhodomonas sp. strain NT15,,,NT15,,,Rhodomonas,Pyrenomonadaceae,Pyrenomonadales,Cryptophyceae,Cryptophyta,Chromista,Eukaryota,1.80127547,1
46,Cylindrospermopsis raciborskii strain ITEP-O18,,,ITEP-O18,,raciborskii,Cylindrospermopsis,Nostocaceae,Nostocales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,1.560880567,1
47,Phaeocystis globosa strain CCMP 1528,,,CCMP 1528,,globosa,Phaeocystis,Phaeocystaceae,Phaeocystales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,1.839232646,1
49,Skeletonema tropicum clone S. trop.,,,,S. trop.,tropicum,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.42023403,3
50,Skeletonema tropicum clone 21-L,,,,21-L,tropicum,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.42023403,3
51,Asterionellopsis glacialis,Asterionella japonica,,,,glacialis,Asterionellopsis,Fragilariaceae,Fragilariales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,3.188600414,1
52,Odontella mobiliensis,Biddulphia mobiliensis,,,,mobiliensis,Odontella,Triceratiaceae,Triceratiales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,5.074421448,1
53,Chaetoceros didymus,,,,,didymus,Chaetoceros,Chaetocerotaceae,Chaetocerotales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,3.49130529,1
54,Rhizosolenia setigera,,,,,setigera,Rhizosolenia,Rhizosoleniaceae,Rhizosoleniales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,4.673571645,1
55,Skeletonema tropicum clone fall,,,,fall,tropicum,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.42023403,3
56,Skeletonema tropicum clone spring,,,,spring,tropicum,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.42023403,3
57,Thalassionema nitzschioides,,,,,nitzschioides,Thalassionema,Thalassionemataceae,Thalassionematales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.995110771,1
60,Coscinodiscus pavillardii,,,,,pavillardii,Coscinodiscus,Coscinodiscaceae,Coscinodiscales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,6.496929648,1
62,Chaetoceros sp.,,,,,,Chaetoceros,Chaetocerotaceae,Chaetocerotales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.187126,1
63,Gymnodinium sp. isolate 581 (probably G. simplex),,,isolate 581,,,Gymnodinium,Gymnodiniaceae,Gymnodiniales,Dinophyceae,Dinophyta,Chromista,Eukaryota,2.621361401,1
65,Crocosphaera watsonii strain A 2.5,,,A 2.5,,watsonii,Crocosphaera,Cyanobacteriaceae,Chroococcales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,1.347986606,1
66,Alexandrium tamiyavanichii strain Chula-5,Protogonyaulax cohorticula ,,Chula-5,,tamiyavanichii ,Alexandrium,Gonyaulacaceae,Gonyaulacales,Dinophyceae,Dinophyta,Chromista,Eukaryota,3.483757194,3
67,Chlorella vulgaris,,,,,vulgaris,Chlorella,Chlorellaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Plantae,Eukaryota,1.900448191,1
68,Gymnodinium sp. isolate 582 (probably G. simplex),,,isolate 582,,,Gymnodinium,Gymnodiniaceae,Gymnodiniales,Dinophyceae,Dinophyta,Chromista,Eukaryota,2.621361401,1
69,Nannochloris (possibly Stichococcus) sp.,,,,,,Nannochloris,Chlorellaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Plantae,Eukaryota,0.548171225,1
70,Desmodesmus quadricaudatus,Scenedesmus quadricauda,,,,quadricaudatus,Desmodesmus,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae,Eukaryota,2.184715756,2
71,Cylindrospermopsis raciborskii strain PMC 117.02,,,PMC 117.02,,raciborskii,Cylindrospermopsis,Nostocaceae,Nostocales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,1.560880567,1
72,Proboscia indica,Rhizosolenia alata f. indica,,,,indica,Proboscia,Rhizosoleniaceae,Rhizosoleniales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,4.784935502,2
73,Neocalyptrella robusta,Rhizosolenia robusta,,,,robusta,Neocalyptrella,Rhizosoleniaceae,Rhizosoleniales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,6.12581911,2
74,Stephanopyxis palmeriana,,,,,palmeriana,Stephanopyxis,Stephanopyxidaceae,Melosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,5.549170266,1
75,Thalassiosira rotula,,,,,rotula,Thalassiosira,Thalassiosiraceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,3.576110894,1
76,Cylindrospermopsis raciborskii strain PMC 99.06,,,PMC 99.06,,raciborskii,Cylindrospermopsis,Nostocaceae,Nostocales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,1.560880567,1
78,Crocosphaera watsonii strain P-3,,,P-3,,watsonii,Crocosphaera,Cyanobacteriaceae,Chroococcales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,1.347986606,1
79,Crocosphaera watsonii strain P-7,,,P-7,,watsonii,Crocosphaera,Cyanobacteriaceae,Chroococcales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,1.347986606,1
80,Odontella sinensis,Biddulphia sinensis,,,,sinensis,Odontella,Triceratiaceae,Triceratiales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,6.000379842,1
81,Skeletonema costatum,,,,,costatum,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.907601307,1
83,Gephyrocapsa oceanica var. typica strain A4727,,,A4727,,oceanica,Gephyrocapsa,Noëlaerhabdaceae,Isochrysidales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,2.937016107,1
84,Gephyrocapsa oceanica var. typica strain A4725,,,A4725,,oceanica,Gephyrocapsa,Noëlaerhabdaceae,Isochrysidales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,2.937016107,1
85,Gymnodinium catenatum strain GCCV-10,,,GCCV-10,,catenatum,Gymnodinium,Gymnodiniaceae,Gymnodiniales,Dinophyceae,Dinophyta,Chromista,Eukaryota,2.621361401,3
87,Thalassiosira rotula clone C8,,,,C8,rotula,Thalassiosira,Thalassiosiraceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,3.576110894,1
88,Chaetoceros simplex strain NEPCC 591,,,NEPCC 591,,simplex,Chaetoceros,Chaetocerotaceae,Chaetocerotales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.536479098,1
89,Synechococcus strain WH8103,,,WH8103,,,Synechococcus,Synechococcaceae,Synechococcales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,-0.165366041,1
90,Amphiprora sp.,,,,,,Amphiprora,Amphipleuraceae,Naviculales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,3.7454758,1
91,Chaetoceros lorenzianus clone Bushehr,,,,Bushehr,lorenzianus,Chaetoceros,Chaetocerotaceae,Chaetocerotales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,3.921053632,1
92,Coscinodiscus excentricus var. lineatus,,,,,excentricus,Coscinodiscus,Coscinodiscaceae,Coscinodiscales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,4.903089987,1
93,Leptocylindrus danicus,,,,,danicus,Leptocylindrus,Leptocylindraceae,Leptocylindrales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,3.279583507,1
94,Prochlorococcus marinus strain SS120,,,SS120,,marinus,Prochlorococcus,Synechococcaceae,Synechococcales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,-0.886056648,3
95,Chlorella sp. strain MFD-1,,,MFD-1,,,Chlorella,Chlorellaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Plantae,Eukaryota,2.013915739,1
98,"Prymnesium parvum strain UTEX LB 2797, UTEX LB ZZ181",,,"UTEX LB 2797, UTEX LB ZZ181",,parvum,Prymnesium,Prymnesiaceae,Prymnesiales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,2.469822016,1
99,"Chlorella sorokiniana strain CCAP 211/8K, 7-11-05",Chlorella pyrenoidosa,,"CCAP 211/8K, 7-11-05",,sorokiniana,Chlorella,Chlorellaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Plantae,Eukaryota,1.575187845,2
100,"Synechococcus sp. strain UV-005, PCC 6311",,,"UV-005, PCC 6311",,,Synechococcus,Synechococcaceae,Synechococcales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,-0.165366041,1
102,Coelastrum astroideum,Coelastrum microporum f. astroidea,,,,astroideum,Coelastrum,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae,Eukaryota,2.106821273,2
103,Cosmarium subprotumidum,,,,,subprotumidum,Cosmarium,Desmidiaceae,Desmidiales,Conjugatophyceae,Charophyta,Plantae,Eukaryota,3.757016235,1
104,Monoraphidium minutum,Selenastrum minutum,,,,minutum,Monoraphidium,Ankistrodesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae,Eukaryota,1.322219295,1
105,Chattonella marina,,,,,marina,Chattonella,Chattonellaceae,Chattonellales,Raphidophyceae,Ochrophyta,Chromista,Eukaryota,5.116939647,1
106,"Emiliania huxleyi strain M181, Bigelow 1A1",Coccolithus huxleyi,,"M181, Bigelow 1A1",,huxleyi,Emiliania,Noëlaerhabdaceae,Isochrysidales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,1.481859156,1
107,Emiliania huxleyi strain CCMP373,Coccolithus huxleyi,,"CCMP373, BT-6",,huxleyi,Emiliania,Noëlaerhabdaceae,Isochrysidales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,1.481859156,1
109,Chaetoceros lorenzianus clone Bermuda,,,,Bermuda,lorenzianus,Chaetoceros,Chaetocerotaceae,Chaetocerotales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,3.921053632,1
111,Anabaena flos-aquae strain UTEX 1444,,,UTEX 1444,,flos-aquae,Anabaena,Nostocaceae,Nostocales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,2.15399188,3
112,Cyclotella meneghiniana strain Lake Kinneret,,,Lake Kinneret,,meneghiniana,Cyclotella,Stephanodiscaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,3.192244052,1
113,Chlorella homosphaera,Mychonastes homosphaera,,,,homosphaera,Chlorella,Chlorellaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Plantae,Eukaryota,0.621176282,2
114,Synechococcus sp. strain A,,,A,,,Synechococcus,Synechococcaceae,Synechococcales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,-0.165366041,1
115,Synechococcus sp. strain B,,,B,,,Synechococcus,Synechococcaceae,Synechococcales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,-0.165366041,1
116,Akashiwo sanguinea,Gymnodinium splendens,Gymodinium sanguineum,,,sanguinea,Akashiwo,,,Dinophyceae,Dinophyta,Chromista,Eukaryota,4.681241237,1
120,Thalassiosira oceanica clone 13-1,Cyclotella nana ,,,13-Jan,oceanica,Thalassiosira,Thalassiosiraceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,1.849296041,1
121,Aphanizomenon aphanizomenoides,Anabaena aphanizomenoides,,,,aphanizomenoides,Aphanizomenon,Nostocaceae,Nostocales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,1.824714867,3
122,Microcystis ichthyoblabe,,,,,ichthyoblabe,Microcystis,Microcystaceae,Chroococcales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,0.963787827,1
123,Karenia mikimotoi,Gymnodinium nagasakiense,,,,mikimotoi,Karenia,Kareniaceae,Gymnodiniales,Dinophyceae,Dinophyta,Chromista,Eukaryota,2.621361401,4
124,Microcystis aeruginosa,,,,,aeruginosa,Microcystis,Microcystaceae,Chroococcales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,1.484755387,1
125,Microcystis wesenbergii,,,,,wesenbergii,Microcystis,Microcystaceae,Chroococcales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,1.631033705,3
126,Pseudo-nitzschia americana,Nitzschia americana,,,,americana,Pseudo-nitzschia,Bacillariaceae,Bacillariales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.079181246,3
127,"Lingulodinium polyedrum strain 70A, UCSB 5M-20",Gonyaulax polyedra ,,"70A, UCSB 5M-20",,polyedrum,Lingulodinium,Gonyaulacaceae,Gonyaulacales,Dinophyceae,Dinophyta,Chromista,Eukaryota,3.484541905,4
130,Gymnodinium catenatum strain Se-GC,,,Se-GC,,catenatum,Gymnodinium,Gymnodiniaceae,Gymnodiniales,Dinophyceae,Dinophyta,Chromista,Eukaryota,2.621361401,3
131,Chattonella marina var. antiqua strain Ho-1,Chattonella antiqua ,,Ho-1,,marina,Chattonella,Chattonellaceae,Chattonellales,Raphidophyceae,Ochrophyta,Chromista,Eukaryota,5.116939647,1
132,Eucampia zodiacus,,,,,zodiacus,Eucampia,Hemiaulaceae,Hemiaulales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,3.763641696,1
133,Heterosigma akashiwo,,,,,akashiwo,Heterosigma,Chattonellaceae,Chattonellales,Raphidophyceae,Ochrophyta,Chromista,Eukaryota,3.051923916,1
134,"Trichodesmium erythraeum strain IMS101, CCMP 1985",,,"IMS101, CCMP 1985",,erythraeum,Trichodesmium,Phormidiaceae,Oscillatoriales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,2.361727836,1
135,Aphanizomenon flos-aquae var. klebahnii,,,,,flos-aquae,Aphanizomenon,Nostocaceae,Nostocales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,1.824714867,3
136,Chlorella sp.,,,,,,Chlorella,Chlorellaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Plantae,Eukaryota,2.013915739,1
137,Golenkinia radiata,,,,,radiata,Golenkinia,Neochloridaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae,Eukaryota,2.807386433,1
138,Biceratium furca,Ceratium furca,,,,furca,Biceratium,Ceratiaceae,Gonyaulacales,Dinophyceae,Dinophyta,Chromista,Eukaryota,4.73731202,2
139,Neoceratium fusus,Ceratium fusus,,,,fusus,Neoceratium,Ceratiaceae,Gonyaulacales,Dinophyceae,Dinophyta,Chromista,Eukaryota,4.6427085,4
140,Chaetoceros pseudocurvisetus,,,,,pseudocurvisetus,Chaetoceros,Chaetocerotaceae,Chaetocerotales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,3.397940009,1
141,Anabaena sp.,,,,,,Anabaena,Nostocaceae,Nostocales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,2.15399188,1
142,Aphanizomenon flos-aquae,,,,,flos-aquae,Aphanizomenon,Nostocaceae,Nostocales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,1.824714867,3
143,Microcystis aeruginosa,,,,,aeruginosa,Microcystis,Microcystaceae,Chroococcales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,1.484755387,1
144,Mallomonas caudata strain MR,,,MR,,caudata,Mallomonas,Mallomonadaceae,Synurales,Synurophyceae,Ochrophyta,Chromista,Eukaryota,3.535536985,1
145,Chaetoceros lorenzianus clone Northern Sargasso,,,,Northern Sargasso,lorenzianus,Chaetoceros,Chaetocerotaceae,Chaetocerotales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,3.921053632,1
146,Skeletonema costatum,,,,,costatum,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.907601307,1
147,"Chaetoceros calcitrans strain CCAP 1010/11, NEPCC 590",,,"CCAP 1010/11, NEPCC 590",,calcitrans,Chaetoceros,Chaetocerotaceae,Chaetocerotales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.143039289,1
148,Synura petersenii strain JC,,,JC,,petersenii,Synura,Mallomonadaceae,Synurales,Synurophyceae,Ochrophyta,Chromista,Eukaryota,2.506357857,3
149,Synura petersenii strain WM,,,WM,,petersenii,Synura,Mallomonadaceae,Synurales,Synurophyceae,Ochrophyta,Chromista,Eukaryota,2.506357857,3
150,Mallomonas crassisquama,,,,,crassisquama,Mallomonas,Mallomonadaceae,Synurales,Synurophyceae,Ochrophyta,Chromista,Eukaryota,2.646433746,3
151,Mallomonas elongata,,,,,elongata,Mallomonas,Mallomonadaceae,Synurales,Synurophyceae,Ochrophyta,Chromista,Eukaryota,2.646433746,3
152,Mallomonas tonsurata,,,,,tonsurata,Mallomonas,Mallomonadaceae,Synurales,Synurophyceae,Ochrophyta,Chromista,Eukaryota,2.646433746,3
153,Synura petersenii strain JD,,,JD,,petersenii,Synura,Mallomonadaceae,Synurales,Synurophyceae,Ochrophyta,Chromista,Eukaryota,2.506357857,3
154,Asterionella formosa,,,,,formosa,Asterionella,Fragilariaceae,Fragilariales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.53612308,1
155,Mallomonas areolata,,,,,areolata,Mallomonas,Mallomonadaceae,Synurales,Synurophyceae,Ochrophyta,Chromista,Eukaryota,2.646433746,3
156,Mallomonas caudata strain DG,,,DG,,caudata,Mallomonas,Mallomonadaceae,Synurales,Synurophyceae,Ochrophyta,Chromista,Eukaryota,3.535536985,1
157,Mallomonas acaroides,,,,,acaroides,Mallomonas,Mallomonadaceae,Synurales,Synurophyceae,Ochrophyta,Chromista,Eukaryota,2.646433746,3
158,Gephyrocapsa oceanica var. typica strain ESP186,,,ESP186,,oceanica,Gephyrocapsa,Noëlaerhabdaceae,Isochrysidales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,2.937016107,1
159,Mallomonas caudata strain AG,,,AG,,caudata,Mallomonas,Mallomonadaceae,Synurales,Synurophyceae,Ochrophyta,Chromista,Eukaryota,3.535536985,1
160,Stephanodiscus hantzschii,,,,,hantzschii,Stephanodiscus,Stephanodiscaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.825515445,1
161,Microcystis aeruginosa strain NIES 299,,,NIES 299,,aeruginosa,Microcystis,Microcystaceae,Chroococcales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,1.484755387,1
164,Planktothrix mougeotii,Oscillatoria mougeotii,,,,mougeotii,Planktothrix,Phormidiaceae,Oscillatoriales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,1.56075475,3
165,Leptolyngbya tenuis,Phormidium tenue ,,,,tenuis,Leptolyngbya,Pseudoanabaenaceae,Pseudoanabaenales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,1.497777861,3
167,Microcystis aeruginosa,,,,,aeruginosa,Microcystis,Microcystaceae,Chroococcales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,1.484755387,1
168,Gephyrocapsa oceanica var. typica strain JS8,,,JS8,,oceanica,Gephyrocapsa,Noëlaerhabdaceae,Isochrysidales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,2.937016107,1
169,Peridinium sp. strain 1,,,1,,,Peridinium,Peridiniaceae,Peridiniales,Dinophyceae,Dinophyta,Chromista,Eukaryota,3.303240824,1
170,Prorocentrum gracile,,,,,gracile,Prorocentrum,Prorocentraceae,Prorocentrales,Dinophyceae,Dinophyta,Chromista,Eukaryota,4.293570038,1
171,Prorocentrum micans,,,,,micans,Prorocentrum,Prorocentraceae,Prorocentrales,Dinophyceae,Dinophyta,Chromista,Eukaryota,4.029374544,1
172,Dunaliella viridis,,,,,viridis,Dunaliella,Dunaliellaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Plantae,Eukaryota,2.6983672,3
173,Gyrodinium uncatenum strain GYRO,,,GYRO,,uncatenum,Gyrodinium,Gymnodiniaceae,Gymnodiniales,Dinophyceae,Dinophyta,Chromista,Eukaryota,3.30311,3
174,Chaetoceros sp.,,,,,,Chaetoceros,Chaetocerotaceae,Chaetocerotales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.187126,1
175,Gyrodinium uncatenum,,,,,uncatenum,Gyrodinium,Gymnodiniaceae,Gymnodiniales,Dinophyceae,Dinophyta,Chromista,Eukaryota,3.30311,3
176,Prorocentrum minimum,,,,,minimum,Prorocentrum,Prorocentraceae,Prorocentrales,Dinophyceae,Dinophyta,Chromista,Eukaryota,3.927094148,1
177,Conticribra weissflogii,Thalassiosira weissflogii,,,,weissflogii,Conticribra,Thalassiosiraceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,3.231703179,2
178,Gephyrocapsa oceanica var. typica strain PC71,,,PC71,,oceanica,Gephyrocapsa,Noëlaerhabdaceae,Isochrysidales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,2.937016107,1
179,"Pycnococcus provasolii clone ?48-23, CCAP 190/1",,,,"?48-23, CCAP 190/1",provasolii,Pycnococcus,Pycnococcaceae,Pseudoscourfieldiales,Prasinophyceae,Chlorophyta,Plantae,Eukaryota,1.037426498,1
180,Chaetoceros didymus clone Slope water,,,,Slope water,didymus,Chaetoceros,Chaetocerotaceae,Chaetocerotales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,3.49130529,1
181,Chaetoceros lorenzianus clone Slope water,,,,Slope water,lorenzianus,Chaetoceros,Chaetocerotaceae,Chaetocerotales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,3.921053632,1
182,Aulacoseira granulata var. angustissima,,,,,granulata,Aulacoseira,Aulacoseiraceae,Aulacoseirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,3.223750088,1
183,Merismopedia tenuissima,,,,,tenuissima,Merismopedia,Merismopediaceae,Synechococcales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,0.159428438,1
184,Microcystis aeruginosa,,,,,aeruginosa,Microcystis,Microcystaceae,Chroococcales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,1.484755387,1
185,Oscillatoria sp.,,,,,,Oscillatoria,Oscillatoriaceae,Oscillatoriales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,1.28268772,1
186,Alexandrium tamarense,Protogonyaulax tamarensis,,,,tamarense,Alexandrium,Gonyaulacaceae,Gonyaulacales,Dinophyceae,Dinophyta,Chromista,Eukaryota,3.112942086,1
187,Alexandrium catenella strain OF878-1,Protogonyaulax catenella ,,OF878-1,,catenella,Alexandrium,Gonyaulacaceae,Gonyaulacales,Dinophyceae,Dinophyta,Chromista,Eukaryota,3.67507933,1
188,Conticribra guillardii clone 7-15,Thalassiosira guillardi ,Cyclotella nana ,,15-Jul,guillardii,Conticribra,Thalassiosiraceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,3.166854754,4
189,Ankistrodesmus falcatus strain S/ANKIS-1,,,S/ANKIS-1,,falcatus,Ankistrodesmus,Ankistrodesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae,Eukaryota,1.525524886,1
190,Volvox aureus,,,,,aureus,Volvox,Volvocaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Plantae,Eukaryota,1.117604,3
191,Cylindrotheca closterium,Nitzschia closterium,,,,closterium,Cylindrotheca,Bacillariaceae,Bacillariales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.317370266,1
192,Aphanizomenon ovalisporum strain UAM 290,,,UAM290,,ovalisporum,Aphanizomenon,Nostocaceae,Nostocales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,1.824714867,3
193,Picochlorum atomus,Nannochloris atomus,,,,atomus,Picochlorum,,Chlorellales,Trebouxiophyceae,Chlorophyta,Plantae,Eukaryota,0.548303411,2
194,Phaeodactylum tricornutum,Nitzschia closterium forma minutissima,,,,tricornutum,Phaeodactylum,Phaeodactylaceae,Naviculales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,1.627660367,1
195,Stichococcus (possibly S. cylindricus),,,,,,Stichococcus,Prasiolaceae,Prasiolales,Trebouxiophyceae,Chlorophyta,Plantae,Eukaryota,0.961866769,1
197,Ceratium schrankii,,,,,schrankii,Ceratium,Ceratiaceae,Gonyaulacales,Dinophyceae,Dinophyta,Chromista,Eukaryota,4.6427085,3
198,"Thalassiosira pseudonana clone CCMP1335, 3H, NEPCC 58",Cyclotella nana ,,,"CCMP1335, 3H, NEPCC 58",pseudonana,Thalassiosira,Thalassiosiraceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.268715388,1
200,Thalassiosira pseudonana clone 5A,Cyclotella nana ,,,5A,pseudonana,Thalassiosira,Thalassiosiraceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.268715388,1
201,"Conticribra weissflogii clone CCMP1336, Actin",Thalassiosira weissflogii,Thalassiosira fluviatilis ,,"CCMP1336, Actin",weissflogii,Conticribra,Thalassiosiraceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,3.231703179,2
203,Dunaliella sp.,,,,,,Dunaliella,Dunaliellaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Plantae,Eukaryota,2.6983672,1
204,"Rhodomonas salina clone CCMP1310, 3C",Chroomonas salina,,,"CCMP1319, 3C",salina,Rhodomonas,Pyrenomonadaceae,Pyrenomonadales,Cryptophyceae,Cryptophyta,Chromista,Eukaryota,2.36361198,1
205,"Skeletonema marinoi clone CCMP1332, Skel.",Skeletonema costatum,,,"CCMP1332, Skel.",marinoi,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.907601307,2
206,Skeletonema costatum,,,,,costatum,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.907601307,1
207,Thalassiosira pseudonana clone e.p.,Cyclotella nana ,,,e.p.,pseudonana,Thalassiosira,Thalassiosiraceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.268715388,1
208,"Volvox globator strain UTEX LB955, SAG 199.80",,,"UTEX LB955, SAG 199.80",,globator,Volvox,Volvocaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Plantae,Eukaryota,1.117604,3
209,Monodopsis subterranea,Monodus subterraneus,,,,subterranea,Monodopsis,Monodopsidaceae,Eustigmatales,Eustigmatophyceae,Ochrophyta,Chromista,Eukaryota,2.358563,4
210,Asterionellopsis glacialis,Asterionella glacialis,,,,glacialis,Asterionellopsis,Fragilariaceae,Fragilariales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,3.188600414,1
