ORGANISM_ID	TERM
1573	Food
1597	Host
7164	Soil
7164	Fresh water
7164	Aquatic
7169	Human intestinal microflora
7169	Host
7172	Human intestinal microflora
7172	Host
7201	Human intestinal microflora
7201	Host
7283	Host
7296	Human vaginal microflora
7296	Host
7307	Host
7331	Host
7339	Host
27006	Host
27021	Soil
23465	Host
1608	Host
1638	Host
1678	Host
1681	Host
1774	Marine
1774	Hydrothermal vent
1774	Hot spring
1774	Aquatic
6409	Human intestinal microflora
6409	Human fecal
6409	Host
6418	Host
6466	Host
6468	Plants
6468	Host
7345	Host
31288	Soil
32508	Host
32615	Host
6513	Human intestinal microflora
6513	Host
6572	Human intestinal microflora
6572	Host
6634	Marine
6634	Host
6634	Fresh water
10881	Host
10888	Host
10910	Host
10911	Host
10946	Host
35757	Host
23516	Host
23557	Host
23605	Wastewater
23605	Sludge
28033	Host
28033	Gastrointestinal tract
28033	Feces
10971	Host
10996	Human stomach
10996	Host
11023	Host
11023	Fresh water
11026	Human stomach
11026	Host
11116	Insect endosymbiont
11116	Host
11116	Endosymbiont
21063	Host
26221	Soil
26257	Wastewater
26257	Sludge
26279	Soil
22365	Host
28198	Soil
32447	Host
15050	Soil
15082	Hot spring
15082	Aquatic
15146	Biofilm
26374	Soil
30277	Host
27294	Soil
27315	Biofilm
23696	Air
1792	Intestinal tract
1792	Host
1811	Soil
1811	Root nodule
1811	Plant root
1811	Host
1830	Host
1854	Human airways
1854	Host
1860	Host
1886	Soil
1886	Host
1886	Fresh water
1886	Food
1900	Host
1917	Soil
1917	Sediment
1917	Host
1917	Aquatic
30464	Marine
30464	Aquatic
27316	Soil
27410	Hydrothermal vent
27410	Hot spring
27410	Aquatic
31543	Fresh water
31543	Aquatic
992	Soil
992	Host
1075	Host
1083	Host
1126	Marine
1126	Aquatic
1178	Sediment
1178	Marine
1212	Soil
1933	Plants
1948	Host
1950	Soil
1962	Soda lakes
1962	Sediment
1962	Fresh water
1962	Aquatic
6670	Host
6695	Soil
6695	Root nodule
6695	Plant root
6695	Marine
6695	Host
6695	Aquatic
6713	Human nasopharyngeal microflora
6713	Host
6723	Soil
21158	Terrestrial
21272	Gastrointestinal tract
31674	Soil
5756	Ectomycorrhizal
5766	Host
5773	Host
5813	Human oral cavity
5813	Host
5815	Soil
5815	Host
5815	Fresh water
5815	Food
5828	Host
5860	Host
5872	Intestinal tract
5872	Host
5961	Soil
6742	Soil
6742	Host
6759	Host
6814	Host
11234	Soil
11250	Sea water
11250	Marine
11250	Aquatic
21376	Soil
26425	Hot spring
26425	Aquatic
5973	Oral cavity
5973	Host
10461	Human intestinal microflora
10461	Host
10486	Host
10509	Host
10511	Human intestinal microflora
